Year,Month,Day,Estimated DGSR
1991,2,23,14.03816276
1991,2,24,15.081247
1991,2,25,11.77851259
1991,2,26,18.13322115
1991,2,27,8.701166149
1991,2,28,17.86770242
1991,3,1,9.368667412
1991,3,2,9.557865766
1991,3,3,15.8461118
1991,3,4,8.053156399
1991,3,5,7.917037226
1991,3,6,4.889464671
1991,3,7,4.227277362
1991,3,8,7.05627928
1991,3,9,8.848538169
1991,3,10,11.7631942
1991,3,11,3.93756732
1991,3,12,4.123501334
1991,3,13,3.626794558
1991,3,14,10.44999001
1991,3,15,4.257653476
1991,3,16,4.005281775
1991,3,17,4.25812471
1991,3,18,3.697516257
1991,3,19,2.134359329
1991,3,20,4.100221174
1991,3,21,10.11686587
1991,3,22,8.133318369
1991,3,23,3.23294554
1991,3,24,3.751490041
1991,3,25,4.50475967
1991,3,26,4.282763725
1991,3,27,9.155419076
1991,3,28,8.755670967
1991,3,29,7.384541259
1991,3,30,2.216121711
1991,3,31,2.937683331
1991,4,1,2.246694472
1991,4,2,2.772367886
1991,4,3,3.30227572
1991,4,4,4.404217292
1991,4,5,6.477069374
1991,4,6,9.756728153
1991,4,7,2.350397113
1991,4,8,6.400580057
1991,4,9,2.626788867
1991,4,10,0.085898745
1991,4,11,0.989930323
1991,4,12,2.868459715
1991,4,13,2.768709332
1991,4,14,2.029810365
1991,4,15,1.17685054
1991,4,16,3.222774729
1991,4,17,1.519089377
1991,4,18,1.159505432
1991,4,19,1.226993883
1991,4,20,1.148102851
1991,4,21,2.263896497
1991,4,22,1.713602544
1991,4,23,1.956347021
1991,4,24,1.956318147
1991,4,25,0.265725164
1991,4,26,0.348363236
1991,4,27,0.703823222
1991,4,28,1.206465947
1991,4,29,0.59641858
1991,4,30,0.702506399
1991,5,1,0.484655621
1991,5,2,0.490926712
1991,5,3,0.68522106
1991,5,4,0.914283103
1991,5,5,0.830583731
1991,5,6,0.657442356
1991,5,7,0.309075398
1991,5,8,0.301802181
1991,5,9,0.123811716
1991,5,10,0.011865765
1991,5,11,0.207233326
1991,5,12,0.374008465
1991,5,13,0.587587344
1991,5,14,0.049351787
1991,5,15,0.067922261
1991,5,16,0.00066234
1991,5,17,0.151421928
1991,5,18,0.149795546
1991,5,19,0.025136256
1991,5,20,0.136851771
1991,5,21,0.488852935
1991,5,22,-0.101634614
1991,5,23,-0.197632864
1991,5,24,-0.01384688
1991,5,25,-0.514205936
1991,5,26,0.459498171
1991,7,18,-0.003025134
1991,7,19,0.070640626
1991,7,20,0.004586659
1991,7,21,0.143813715
1991,7,22,0.173919444
1991,7,23,-0.17050311
1991,7,24,-1.058791299
1991,7,25,-0.334918822
1991,7,26,-0.055305769
1991,7,27,0.625312712
1991,7,28,0.102157951
1991,7,29,0.842210624
1991,7,30,0.245423564
1991,7,31,0.272636411
1991,8,1,0.161073125
1991,8,2,1.042721617
1991,8,3,0.164404482
1991,8,4,0.4236407
1991,8,5,0.404376328
1991,8,6,0.422018898
1991,8,7,0.439425413
1991,8,8,0.611830698
1991,8,9,1.280923234
1991,8,10,0.620068369
1991,8,11,0.507807665
1991,8,12,0.67703883
1991,8,13,0.981207424
1991,8,14,0.678578392
1991,8,15,1.186435846
1991,8,16,1.135906022
1991,8,17,1.042861646
1991,8,18,1.009280997
1991,8,19,1.087125729
1991,8,20,1.25487705
1991,8,21,2.443339131
1991,8,22,2.472087064
1991,8,23,1.691259678
1991,8,24,1.785936523
1991,8,25,1.535609904
1991,8,26,1.622803519
1991,8,27,1.598070781
1991,8,28,1.953580828
1991,8,29,1.867740796
1991,8,30,2.956859457
1991,8,31,5.88339206
1991,9,1,2.365883607
1991,9,2,2.393953442
1991,9,3,6.123559171
1991,9,4,4.343580835
1991,9,5,6.192354336
1991,9,6,5.834399534
1991,9,7,3.202474992
1991,9,8,1.985311685
1991,9,9,2.654078735
1991,9,10,3.349769936
1991,9,11,3.503563704
1991,9,12,4.341457618
1991,9,13,3.607487994
1991,9,14,3.932987281
1991,9,15,5.180613973
1991,9,16,6.55349521
1991,9,17,5.46484681
1991,9,18,6.597091215
1991,9,19,7.561639142
1991,9,20,7.812014708
1991,9,21,8.926883953
1991,9,22,8.820866946
1991,9,23,7.384267967
1991,9,24,3.380272295
1991,9,25,7.907842362
1991,9,26,9.715481149
1991,9,27,9.454424654
1991,9,28,10.8649879
1991,9,29,10.78888077
1991,9,30,11.86939533
1991,10,1,12.82362027
1991,10,2,11.94250919
1991,10,3,7.469836196
1991,10,4,11.16431155
1991,10,5,13.22728005
1991,10,6,14.35004472
1991,10,7,14.57850641
1991,10,8,14.6401616
1991,10,9,13.21217273
1991,10,10,13.33535289
1991,10,11,14.69904386
1991,10,12,15.31821546
1991,10,13,9.940658184
1991,10,14,13.33089152
1991,10,15,8.690521711
1991,10,16,11.36559093
1991,10,17,14.19633702
1991,10,18,12.94170932
1991,10,19,13.9230823
1991,10,20,12.63799764
1991,10,21,18.96433302
1991,10,22,11.81809096
1991,10,23,16.39155356
1991,10,24,20.35037598
1991,10,25,21.48697489
1991,10,26,19.57860208
1991,10,27,11.07387437
1991,10,28,12.3811289
1991,10,29,11.59802597
1991,10,30,10.93462942
1991,10,31,16.73017214
1991,11,1,15.50668509
1991,11,2,12.19118347
1991,11,3,24.07753393
1991,11,4,16.72317316
1991,11,5,17.93007313
1991,11,6,22.89432695
1991,11,7,24.01682011
1991,11,8,25.0611137
1991,11,9,15.97548679
1991,11,10,19.98466409
1991,11,11,18.05625204
1991,11,12,13.63874643
1991,11,13,21.29346079
1991,11,14,18.81490595
1991,11,15,25.59522405
1991,11,16,27.87457205
1991,11,17,25.91569035
1991,11,18,15.95098806
1991,11,19,27.47165075
1991,11,20,24.33743457
1991,11,21,28.63805084
1991,11,22,28.69340899
1991,11,23,18.868275
1991,11,24,24.96031496
1991,11,25,13.63639087
1991,11,26,14.35623662
1991,11,27,22.10881888
1991,11,28,22.41947933
1991,11,29,29.01225131
1991,11,30,26.69122403
1991,12,1,31.72308632
1991,12,2,31.5529794
1991,12,3,25.97329204
1991,12,4,24.39217206
1991,12,5,28.95825485
1991,12,6,27.0055702
1991,12,7,28.56479368
1991,12,8,32.16504861
1991,12,9,30.71469015
1991,12,10,30.03843997
1991,12,11,30.09006826
1991,12,12,31.20180425
1991,12,13,32.6799616
1991,12,14,31.60651356
1991,12,15,31.89914438
1991,12,16,28.11204673
1991,12,17,31.01642125
1991,12,18,31.12272345
1991,12,19,31.74548526
1991,12,20,32.34020551
1991,12,21,34.23135797
